0x33c47470 sceAppMgrPspSaveDataRead
0x3e53681a sceAppMgrInitSafeMemoryById
0x54ad0f7f sceAppMgrForceUmount
0xec1fdace sceAppMgrOverwriteLaunchParamForShell
0x8b224917 sceAppMgrSaveDataAddMount
0xcf58eee4 sceAppMgrPspSaveDataGetParams
0x98724e3f sceAppMgrGetAppMgrState
0x7bc8d5b6 sceAppMgrBgdlGetQueueStatus
0x4f8a92f1 sceAppMgrSaveDataSlotInit
0x62bebd65 sceAppMgrGetCurrentBgmState2
0x5f00f261 sceAppMgrGetBudgetInfo
0x8a1a6ffc sceAppMgrGetRecommendedScreenOrientation
0xf261879f sceAppMgrDeclareShellProcess2
0x8c24d566 sceAppMgrCaptureFrameBufIFTUByAppId
0x291afbdc sceAppMgrAppDataMount
0x6ad619d3 sceAppMgrPeekLaunchParamForShell
0x2e4e1a1e sceAppMgrSendSystemEvent
